wk0000i,Workshops at the ACM Web Conference 2026,Mohamed Reda Bouadjenek:Deakin University;Danai Koutra:University of Michigan
wk1043,Knowledge Graph Editing Model for Enhancing Recommendation Systems,"Weixuan Sun:Laboratory for Big Data and Decision, National University of Defense Technology;Yang Fang:National University of Defense Technology;Jiuyang Tang:Laboratory for Big Data and Decision, National University of Defense Technology;Hao Xu:Laboratory for Big Data and Decision, National University of Defense Technology;Bin Ge:Laboratory for Big Data and Decision, National University of Defense Technology"
wk1044s,Learning to Alleviate Familiarity Bias in Video Recommendation,Zheng Ren:Google LLC;Yi Wu:Google LLC;Jianan Lu:Google LLC;Acar Ary:Google LLC;Yiqu Liu:Google LLC;Li Wei:Google LLC;Lukasz Heldt:Google LLC
wk1100,LLM and Agents for Recommendation Systems (LARS),Keerthi Gopalakrishnan:Walmart;Qi Xu:Meta;Aysenur Inan:Walmart;Zhigang Hua:Meta;Luyi Ma:Walmart Labs;Prabhat Agarwal:OpenAI;Shuang Yang:Meta;Shradha Sehgal:Netflix;Hao Wang:Rutgers University;Kai Zhao:Workday;Yashar Deldjoo:Polytechnic Institute of Bari;Rong Jin:Twitter;Kamilia Ahmadi:Warner Bros Discovery;Luke Simon:Meta
wk1103,LLM-augmented Hybrid Recommendation System for Structured Classification of Customs Commodity Descriptions,Ivan P. Malashin:Bauman Moscow State Technical University;Igor S. Masich:Bauman Moscow State Technical University;Dmitry A. Martysyuk:Bauman Moscow State Technical University;Sergei O. Kurashkin:Bauman Moscow State Technical University;Aleksei S. Borodulin:Bauman Moscow State Technical University;Andrei P. Gantimurov:Bauman Moscow State Technical University;Vladimir A. Nelyub:Bauman Moscow State Technical University;Vadim S. Tynchenko:Bauman Moscow State Technical University
wk1104,HELM: A Human-Centered Evaluation Framework for LLM-Powered Recommender Systems,Sushant Mehta:Surge AI
wk1105,MATRAG: Multi-Agent Transparency-Enhanced Retrieval-Augmented Generation for Explainable Recommendations,Sushant Mehta
wk1106s,PCN-Rec: Agentic Proof-Carrying Negotiation for Reliable Governance-Constrained Recommendation,Aradhya Dixit:Wake Technical Community College;Shreem Dixit:University of North Carolina at Charlotte
wk1108,GALRec: Aligning Graph with Large Language Model for Sequential Recommendation,"He Lu:Nanyang Technological University,Beijing University of Aeronautics and Astronautics;Yanting Wang:Beijing University of Aeronautics and Astronautics;Haohua Du:Beihang University Hangzhou Innovation Institute;Yue Liu:Southeast University;Hanqing Yu:Beijing University of Aeronautics and Astronautics"
wk1111,Smart Book Seeker: Agent-Augmented Retrieval System for Metadata-Sparse Libraries,"Hao-Quan Liu:Department of Computer Science and Engineering, National Chung Hsing University,Smart Sustainable New Agriculture Research Center;Yao-Chung Fan:Department of Computer Science and Engineering, National Chung Hsing University,Smart Sustainable New Agriculture Research Center"
wk1113s,TCR: A Trust-Aligned Text-Only Cross-Attention Ranker Distilling Multimodal LLM Reasoning for Recommendation Agents,Liping Zhang:Adobe;Tracy Holloway King:Adobe
wk1115,Ethical Decision-Making under Moral Uncertainty,Djallel Bouneffouf:IBM Research
wk1116,"Triple Modality Fusion: Aligning Visual, Textual, and Graph Data for LLM-based Multi-Behavior Recommender Systems",Luyi Ma:Walmart Global Tech;Xiaohan Li:Walmart Global Tech;Zezhong Fan:Walmart Global Tech;Kai Zhao:Walmart Global Tech;Jianpeng Xu:Walmart Global Tech;Jason Cho:Walmart Global Tech;Praveen Kumar Kanumala:Walmart Global Tech;Kaushiki Nag:Walmart Global Tech;Evren Korpeoglu:Walmart Global Tech;Sushant Kumar:Walmart Global Tech;Kannan Achan:Walmart Global Tech
wk1117,AID: Hypothesis-Grounded Probing for Conversational Recommendation,Rajarshee Dhar:Cisco Systems Inc;Vivek Kumar Singh:Cisco Systems India Pvt. Ltd;Ambrose Taylor:Cisco Systems Inc;M. David Hanes:Cisco Systems Inc;Yogesh Ramdoss:Pure Storage
wk1118s,Less is More: Benchmarking LLM Based Recommendation Agents,"Mahalakshmi Venkateswarlu:Georgia Institute of Technology;Kargi Chauhan:University of California, Santa Cruz"
wk1120,HierFusion: Adaptive Multi-Granularity Fusion for Document Recommendation,Rajarshee Dhar:Cisco Systems Inc;Vivek Kumar Singh:Cisco Systems India Pvt. Ltd;Ambrose Taylor:Cisco Systems Inc
wk1121,LLMs as Orchestrators: Constraint-Compliant Multi-Agent Optimization for Recommendation Systems,Guilin Zhang:Workday AI;Kai Zhao:Workday AI;Jeffrey Friedman:Workday AI;Xu Chu:Workday AI
wk1122,RobustExplain: Evaluating Robustness of LLM-Based Explanation Agents for Recommendation,Guilin Zhang:Workday AI;Kai Zhao:Workday AI;Jeffrey Friedman:Workday AI;Xu Chu:Workday AI
wk1123,Campaign-2-PT-RAG: LLM-Guided Semantic Product Type Attribution for Scalable Campaign Ranking,Yiming Che:Walmart Global Tech;Mansi Ranjit Mane:Walmart Global Tech;Keerthi Gopalakrishnan:Walmart Global Tech;Parisa Kaghazgaran:Walmart Global Tech;Murali Mohana Krishna Dandu:Walmart Global Tech;Archana Venkatachalapathy:Walmart Global Tech;Sinduja Subramaniam:Walmart Global Tech;Yokila Arora:Walmart Global Tech;Evren Korpeoglu:Walmart Global Tech;Sushant Kumar:Walmart Global Tech;Kannan Achan:Walmart Global Tech
wk1126s,SCORE: Story Coherence and Retrieval Enhancement for AI Narratives,"Qiang Yi,Yangfan He,Jianhui Wang,Xinyuan Song,Kuan Lu,ShiYao Qian,Xinhang Yuan,Yi Xin,Yijin Wang,Jingqun Tang,Yuchen Li,Hongyang He,Zhen Tian,Tianxiang Xu,Keqin Li,Menghao Huo,Jiaqi Chen,Miao Zhang,Tianyu Shi,Jianyuan Ni"
wk1200i,Multimodal Content Analysis for Social Good,Surendrabikram Thapa:Virginia Tech;Usman Naseem:Macquarie University;Roy Ka-Wei Lee:Singapore University of Technology and Design;Mehwish Nasim:University of Western Australia
wk1225,Concept-Grounded Detection of Vaccine Misinformation in Multimodal Content Using Interpretable Vision-Language Models,Laxmi Thapa:O.P. Jindal Global University;Aryaman Jain:Delhi Technological University;Lakshmojee Koduru:Google;Surabhi Adhikari:Columbia University;Junaid Rashid:Sejong University;Jungeun Kim:Inha University;Surendrabikram Thapa:Virginia Tech;Usman Naseem:Macquarie University
